NP1,NP2,NP3,NP4,NP5,NP6.1,NP6.2
RESISTANT Mycobacterium bovis,Dialister propionicifaciens,Nocardia transvalensis,Fusobacterium varium,Lactobacillus plantarum,Dialister propionicifaciens,Anaerococcus prevotii
Fusobacterium sp.,Clostridium sordellii,RESISTANT Staphylococcus simulans,Parabacteroides merdae,Clostridium sordellii,Prevotella buccae,Eubacterium limosum
RESISTANT Staphylococcus simulans,Fusobacterium sp.,Streptococcus sanguinis,RESISTANT Clostridium tertium,Fusobacterium varium,Bacteroides distasonis,Porphyromonas asaccharolytica
Nocardia otitidiscaviarum,Nocardia transvalensis,RESISTANT Klebsiella oxytoca,Staphylococcus simulans,Clostridium innocuum,Bacillus subtilis subsp. subtilis str. 168,Prevotella denticola
Yersinia pestis,Streptococcus constellatus,RESISTANT Burkholderia pseudomallei,RESISTANT Chlamydia trachomatis,Eggerthella lenta,RESISTANT Klebsiella oxytoca,Shigella sp.
Staphylococcus lugdunensis,Corynebacterium jeikeium,Streptococcus constellatus,RESISTANT Clostridium paraputrificum,RESISTANT Acinetobacter pittii,RESISTANT Staphylococcus simulans,RESISTANT Acinetobacter baumannii
Mycobacterium intracellulare,Lactobacillus fermentum,Fusobacterium sp.,RESISTANT Clostridium septicum,Prevotella buccae,Clostridium sordellii,Veillonella parvula
Eubacterium limosum,Nocardia otitidiscaviarum,Nocardia otitidiscaviarum,RESISTANT Finegoldia magna,Actinomyces naeslundii,Fusobacterium nucleatum,Streptococcus mutans
Eggerthella lenta,RESISTANT Mycoplasma pneumoniae,Parabacteroides merdae,Corynebacterium jeikeium,Mycobacterium mageritense,Parabacteroides merdae,Nocardia otitidiscaviarum
Fusobacterium varium,RESISTANT Klebsiella oxytoca,Corynebacterium jeikeium,Bacteroides ovatus,Parabacteroides merdae,Bacteroides caccae,Staphylococcus sp.
Streptomyces coelicolor,Staphylococcus sciuri,Dialister invisus,RESISTANT Prevotella intermedia,Clostridium ramosum,RESISTANT Acinetobacter calcoaceticus,Clostridium sordellii
RESISTANT Burkholderia pseudomallei,Fusobacterium varium,Fusobacterium varium,RESISTANT Klebsiella oxytoca,RESISTANT Finegoldia magna,Prevotella disiens,RESISTANT Aeromonas punctata
RESISTANT Klebsiella oxytoca,Nocardia brasiliensis,Prevotella oralis,Bacteroides caccae,Propionibacterium,Salmonella enteritidis,Clostridium clostridioforme
Streptococcus pneumoniae R6,Eubacterium limosum,Legionella pneumophila,Staphylococcus lugdunensis,RESISTANT Acinetobacter calcoaceticus,Streptococcus agalactiae,Clostridium septicum
