,group1,group2,meandiff,p-adj,lower,upper,reject
341,Perceptron,RF,2.5767,0.4126,-0.7313,5.8847,False
342,Perceptron,Ridge,0.6119,1.0,-2.6961,3.9199,False
343,Perceptron,SGD,1.4936,0.9965,-1.8144,4.8016,False
344,Perceptron,SVC,2.8466,0.2169,-0.4614,6.1546,False
345,Perceptron,Stacking_ETs,0.7749,1.0,-2.533,4.0829,False
346,Perceptron,Stacking_LR,0.5222,1.0,-2.7858,3.8302,False
347,Perceptron,Stacking_NuSCV,0.0475,1.0,-3.2605,3.3555,False
348,Perceptron,Stacking_RF,-0.7402,1.0,-4.0482,2.5678,False
349,Perceptron,Stacking_Ridge,0.0492,1.0,-3.2588,3.3572,False
350,Perceptron,XGB,0.196,1.0,-3.1119,3.504,False
351,QDA,RF,-17.0945,0.0,-20.4025,-13.7865,True
352,QDA,Ridge,-19.0593,0.0,-22.3673,-15.7514,True
353,QDA,SGD,-18.1776,0.0,-21.4856,-14.8696,True
354,QDA,SVC,-16.8246,0.0,-20.1326,-13.5166,True
355,QDA,Stacking_ETs,-18.8963,0.0,-22.2043,-15.5883,True
356,QDA,Stacking_LR,-19.149,0.0,-22.457,-15.841,True
357,QDA,Stacking_NuSCV,-19.6237,0.0,-22.9317,-16.3157,True
358,QDA,Stacking_RF,-20.4114,0.0,-23.7194,-17.1034,True
359,QDA,Stacking_Ridge,-19.622,0.0,-22.93,-16.314,True
360,QDA,XGB,-19.4752,0.0,-22.7832,-16.1672,True
361,RF,Ridge,-1.9648,0.8977,-5.2728,1.3432,False
362,RF,SGD,-1.0831,1.0,-4.3911,2.2249,False
363,RF,SVC,0.2699,1.0,-3.0381,3.5779,False
364,RF,Stacking_ETs,-1.8018,0.9582,-5.1097,1.5062,False
365,RF,Stacking_LR,-2.0545,0.848,-5.3625,1.2535,False
366,RF,Stacking_NuSCV,-2.5292,0.4535,-5.8372,0.7788,False
367,RF,Stacking_RF,-3.3169,0.0484,-6.6249,-0.0089,True
368,RF,Stacking_Ridge,-2.5275,0.455,-5.8355,0.7805,False
369,RF,XGB,-2.3807,0.5871,-5.6886,0.9273,False
370,Ridge,SGD,0.8818,1.0,-2.4262,4.1897,False
371,Ridge,SVC,2.2347,0.7154,-1.0733,5.5427,False
372,Ridge,Stacking_ETs,0.1631,1.0,-3.1449,3.4711,False
